game_id,team,exit_round,is_group_stage,shots_on_target,total_shots,shot_accuracy,comparison_group
acc93b55,IR Iran,Group Stage,True,4,13,0.3077,Group Stage Exit
82de5964,Saudi Arabia,Group Stage,True,3,7,0.4286,Group Stage Exit
63b14e23,Tunisia,Group Stage,True,4,10,0.4,Group Stage Exit
c96f559b,IR Iran,Group Stage,True,3,7,0.4286,Group Stage Exit
311661a5,Korea Republic,Group Stage,True,3,8,0.375,Group Stage Exit
82209c60,Türkiye,Group Stage,True,5,32,0.1562,Group Stage Exit
eb19002c,Jordan,Group Stage,True,4,8,0.5,Group Stage Exit
27695f4a,Tunisia,Group Stage,True,0,2,0.0,Group Stage Exit
48dd64d5,Uruguay,Group Stage,True,1,5,0.2,Group Stage Exit
f26b468c,Czechia,Group Stage,True,1,13,0.0769,Group Stage Exit
8d6d70b6,Saudi Arabia,Group Stage,True,3,7,0.4286,Group Stage Exit
89835aff,Curaçao,Group Stage,True,2,11,0.1818,Group Stage Exit
31f1f241,Iraq,Group Stage,True,0,4,0.0,Group Stage Exit
f527457d,New Zealand,Group Stage,True,2,6,0.3333,Group Stage Exit
a039dc32,IR Iran,Group Stage,True,4,17,0.2353,Group Stage Exit
58c3106f,Haiti,Group Stage,True,2,15,0.1333,Group Stage Exit
140e19d9,Jordan,Group Stage,True,4,11,0.3636,Group Stage Exit
0ef71ab6,Scotland,Group Stage,True,5,14,0.3571,Group Stage Exit
a59cb59d,Qatar,Group Stage,True,3,9,0.3333,Group Stage Exit
2a469714,Scotland,Group Stage,True,0,6,0.0,Group Stage Exit
d7e30dec,Panama,Group Stage,True,2,13,0.1538,Group Stage Exit
6df52cfd,Tunisia,Group Stage,True,2,6,0.3333,Group Stage Exit
17eda16a,Iraq,Group Stage,True,1,11,0.0909,Group Stage Exit
28a6d770,Panama,Group Stage,True,1,8,0.125,Group Stage Exit
583c1910,Iraq,Group Stage,True,1,6,0.1667,Group Stage Exit
a039dc32,New Zealand,Group Stage,True,8,14,0.5714,Group Stage Exit
3329959e,Uzbekistan,Group Stage,True,2,8,0.25,Group Stage Exit
0fcac1d8,Saudi Arabia,Group Stage,True,1,3,0.3333,Group Stage Exit
4ff2342a,Türkiye,Group Stage,True,8,30,0.2667,Group Stage Exit
ca7eecdb,Curaçao,Group Stage,True,3,10,0.3,Group Stage Exit
358fd0fc,Türkiye,Group Stage,True,3,9,0.3333,Group Stage Exit
d5699a16,New Zealand,Group Stage,True,5,11,0.4545,Group Stage Exit
82de5964,Uruguay,Group Stage,True,10,27,0.3704,Group Stage Exit
02f675d6,Czechia,Group Stage,True,3,14,0.2143,Group Stage Exit
2307866a,Haiti,Group Stage,True,2,9,0.2222,Group Stage Exit
58c3106f,Scotland,Group Stage,True,2,9,0.2222,Group Stage Exit
5134daab,Switzerland,Quarter-final,True,7,13,0.5385,Quarter-Finalist
17eda16a,Norway,Quarter-final,True,5,12,0.4167,Quarter-Finalist
3dac8725,England,Semi-final or later,True,3,19,0.1579,Quarter-Finalist
7382111b,Norway,Quarter-final,True,7,13,0.5385,Quarter-Finalist
c96f559b,Belgium,Quarter-final,True,7,23,0.3043,Quarter-Finalist
2a469714,Morocco,Quarter-final,True,2,12,0.1667,Quarter-Finalist
2307866a,Morocco,Quarter-final,True,11,22,0.5,Quarter-Finalist
31f1f241,France,Semi-final or later,True,5,19,0.2632,Quarter-Finalist
5f18a385,Belgium,Quarter-final,True,3,15,0.2,Quarter-Finalist
f527457d,Belgium,Quarter-final,True,10,35,0.2857,Quarter-Finalist
1bcdcfc8,Norway,Quarter-final,True,4,10,0.4,Quarter-Finalist
199a57aa,Switzerland,Quarter-final,True,4,6,0.6667,Quarter-Finalist
1bcdcfc8,France,Semi-final or later,True,9,18,0.5,Quarter-Finalist
e7d8a062,Argentina,Semi-final or later,True,5,12,0.4167,Quarter-Finalist
0fcac1d8,Spain,Semi-final or later,True,8,22,0.3636,Quarter-Finalist
58580af9,Switzerland,Quarter-final,True,7,26,0.2692,Quarter-Finalist
2712fac7,France,Semi-final or later,True,8,11,0.7273,Quarter-Finalist
d7e30dec,England,Semi-final or later,True,6,17,0.3529,Quarter-Finalist
