game_id,team,exit_round,is_group_stage,shots_on_target,total_shots,shot_accuracy
02f675d6,Czechia,Group Stage,True,3,14,0.2143
02f675d6,South Africa,Round of 32,True,4,17,0.2353
0ef71ab6,Brazil,Round of 16,True,9,21,0.4286
0ef71ab6,Scotland,Group Stage,True,5,14,0.3571
0fcac1d8,Saudi Arabia,Group Stage,True,1,3,0.3333
0fcac1d8,Spain,Semi-final or later,True,8,22,0.3636
140e19d9,Austria,Round of 32,True,4,11,0.3636
140e19d9,Jordan,Group Stage,True,4,11,0.3636
17eda16a,Iraq,Group Stage,True,1,11,0.0909
17eda16a,Norway,Quarter-final,True,5,12,0.4167
199a57aa,Canada,Round of 16,True,7,13,0.5385
199a57aa,Switzerland,Quarter-final,True,4,6,0.6667
1bcdcfc8,France,Semi-final or later,True,9,18,0.5
1bcdcfc8,Norway,Quarter-final,True,4,10,0.4
2307866a,Haiti,Group Stage,True,2,9,0.2222
2307866a,Morocco,Quarter-final,True,11,22,0.5
2712fac7,France,Semi-final or later,True,8,11,0.7273
2712fac7,Senegal,Round of 32,True,2,6,0.3333
27695f4a,Japan,Round of 32,True,5,11,0.4545
27695f4a,Tunisia,Group Stage,True,0,2,0.0
288fba4d,Austria,Round of 32,False,0,5,0.0
288fba4d,Spain,Semi-final or later,False,10,23,0.4348
28a6d770,Croatia,Round of 32,True,2,6,0.3333
28a6d770,Panama,Group Stage,True,1,8,0.125
2a469714,Morocco,Quarter-final,True,2,12,0.1667
2a469714,Scotland,Group Stage,True,0,6,0.0
311661a5,Korea Republic,Group Stage,True,3,8,0.375
311661a5,South Africa,Round of 32,True,4,13,0.3077
31f1f241,France,Semi-final or later,True,5,19,0.2632
31f1f241,Iraq,Group Stage,True,0,4,0.0
3329959e,Colombia,Round of 16,True,4,15,0.2667
3329959e,Uzbekistan,Group Stage,True,2,8,0.25
358fd0fc,Türkiye,Group Stage,True,3,9,0.3333
358fd0fc,United States,Round of 16,True,7,18,0.3889
3ae43552,Argentina,Semi-final or later,False,7,22,0.3182
3ae43552,Switzerland,Quarter-final,False,5,11,0.4545
3c1e3816,Mexico,Round of 16,True,4,16,0.25
3c1e3816,South Africa,Round of 32,True,2,3,0.6667
3ccca695,Australia,Round of 32,False,1,16,0.0625
3ccca695,Egypt,Round of 16,False,3,14,0.2143
3dac8725,England,Semi-final or later,True,3,19,0.1579
3dac8725,Ghana,Round of 32,True,1,2,0.5
3ed2ad56,England,Semi-final or later,False,5,6,0.8333
3ed2ad56,Mexico,Round of 16,False,5,20,0.25
43fec9f3,Côte d'Ivoire,Round of 32,True,2,9,0.2222
43fec9f3,Germany,Round of 32,True,7,16,0.4375
47dbfe60,Argentina,Semi-final or later,False,5,15,0.3333
